🕘️更新时间,#genre#
2026-02-28 17:12:35,http://123.175.209.52:9003/hls/1/index.m3u8

📺央视频道,#genre#
CCTV-1,http://123.175.209.52:9003/hls/1/index.m3u8
CCTV-2,http://123.175.209.52:9003/hls/2/index.m3u8
CCTV-3,http://123.175.209.52:9003/hls/3/index.m3u8
CCTV-4,http://123.175.209.52:9003/hls/4/index.m3u8
CCTV-5,http://123.175.209.52:9003/hls/5/index.m3u8
CCTV-5+,http://123.175.209.52:9003/hls/6/index.m3u8
CCTV-6,http://123.175.209.52:9003/hls/7/index.m3u8
CCTV-7,http://123.175.209.52:9003/hls/8/index.m3u8
CCTV-8,http://123.175.209.52:9003/hls/9/index.m3u8
CCTV-9,http://123.175.209.52:9003/hls/10/index.m3u8
CCTV-10,http://123.175.209.52:9003/hls/11/index.m3u8
CCTV-11,http://123.175.209.52:9003/hls/12/index.m3u8
CCTV-12,http://123.175.209.52:9003/hls/13/index.m3u8
CCTV-13,https://cdn3.163189.xyz/163189/cctv13
CCTV-15,http://123.175.209.52:9003/hls/16/index.m3u8
CCTV-16,http://123.175.209.52:9003/hls/17/index.m3u8
CCTV-17,http://123.175.209.52:9003/hls/18/index.m3u8
CETV-1,http://117.161.133.51:81/gitv_live/G_CETV-1/G_CETV-1.m3u8?p=GITV
CETV-2,http://117.161.133.51:81/gitv_live/G_CETV-2/G_CETV-2.m3u8?p=GITV
CETV-4,http://49.113.179.174:4022/udp/238.125.3.92:5140

📡卫视频道,#genre#
四川卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225733/index.m3u8

☘️广东频道,#genre#
